"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"185","Anthony Lamb","Gol","F","25.3","5","5.5","8.9","33.3","0","0","0","0","4","0.25","0.375","0.375","0.6","0.8","0","0.2","0.2","0.4","1.4","0.6","1.4","0","47.9","110.1"
"186","Ish Wainright","Pho","F","28.7","5","3.8","9.2","0","0","0","0","0","4","0.25","0.375","0.375","0.6","0.2","0","0","0.2","0","0.8","0.6","0.8","0","",""
"187","Raul Neto","Cle","G","31","2","3.5","26.4","62.1","2","0.5","0","0","1","0","0","0.266","0.5","0","0.5","0","0","1","0.5","1","1","0","",""
"188","Miles McBride","Nyk","G","22.7","7","2.5","10.1","0","0","0","1","0","3","0.333","0.375","0.375","0.4","0.3","0.1","0","0","0","0.7","0.6","0.9","3.7","",""
"189","Thanasis Antetokounmpo","Mil","F","30.8","2","2.6","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"190","Patrick Baldwin Jr.","Gol","F","20.5","2","3.9","10.7","0","0","0","0","0","2","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","",""
"191","Mo Bamba","Lal","C","25","3","3.4","8.5","0","0","0","1","0","1","0","0","0","0","1","0.3","0","0.3","0","1","0.3","1.3","0","",""
"192","Brandon Boston Jr.","Lac","G","21.5","1","1","42","100","0","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","",""
"193","Vlatko Cancar","Den","F","26.1","3","2.5","29.9","0","0","0","1","0","4","0","0","0","0","1","0","0","0","0","1","0","1","0","",""
"194","Amir Coffey","Lac","G-F","25.9","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"195","Robert Covington","Lac","F","32.4","2","6","10.5","0","0","0","1","0","2","0","0","0","0","1","1","0","0.5","0","1","1","2","0","42.7","101.1"
"196","Kessler Edwards","Sac","F","22.8","6","1.2","0","","0","0","0","0","0","0","","","0","0.2","0","0","0","0","0.2","0","0.2","0","",""
"197","Blake Griffin","Bos","F","34.2","1","5.9","7.6","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","74.9","79.2"
"198","Montrezl Harrell","Phi","F-C","29.3","2","3.5","19.8","0","0","0","3","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","",""
"199","Udonis Haslem","Mia","F","42.9","1","2.5","35","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","",""
"200","Aaron Holiday","Atl","G","26.6","1","3.9","10.6","100","0","0","0","0","0","0","","","0","0","1","0","0","1","0","1","1","0","",""
"201","Reggie Jackson","Den","G","33.1","3","3.7","4","100","0","0","0","0","0","0","","","0","0.3","0.3","0.3","0","0.3","0.3","0.3","0.7","0","",""
"202","Nikola Jovic","Mia","F","19.9","1","0.9","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"203","Meyers Leonard","Mil","F-C","31.2","2","2.6","8.1","0","0","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","",""
"204","Jordan McLaughlin","Min","G","27.1","2","7.1","13.1","0","0","0","2","0","2","0","0","0","0","1","1","0","0","0","1","1","2","0","33","104.4"
"205","Patty Mills","Bro","G","34.7","1","5.3","18.6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103.8"
"206","Josh Minott","Min","F","20.5","1","6.3","14.7","50","0","0","0","0","1","0","0","0","0","0","0","2","1","1","0","0","0","0","0","88.3"
"207","Wendell Moore Jr.","Min","G","21.6","1","2.1","22","100","0","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","",""
"208","Jason Preston","Lac","G","23.8","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"209","Derrick Rose","Nyk","G","34.6","1","2.5","70.7","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","",""
"210","Ricky Rubio","Cle","G","32.6","3","5.7","16.6","83.3","0","0","1","0","0","0","0","0","0","2","1","0.3","0","1.7","2","1","3","0","46.2","76.1"
"211","Ish Smith","Den","G","34.8","3","3.2","4.6","0","0","0","1","0","0","0","0","0","0","0.3","0.3","0","0","0","0.3","0.3","0.7","0","",""
"212","Edmond Sumner","Bro","G","27.4","1","4.5","0","","0","0","0","0","0","0","","","0","0","1","0","0","0","0","1","1","0","","125.1"
"213","Omer Yurtseven","Mia","C","24.9","2","2.2","10.2","100","0","0","0","0","0","0","","","0","0.5","0.5","0","0","0.5","0.5","0.5","1","0","",""
"214","Dewayne Dedmon","Phi","C","33.7","1","5","18.5","50","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","1","0","0","94.9"
"215","Justin Champagnie","Bos","G-F","21.9","1","5","18","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99"
"216","DaQuan Jeffries","Nyk","G-F","25.7","2","2.3","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
