"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"69","Max Strus","Mia","G-F","27.1","10","28.9","13.3","5.9","6","0.833","21","0.762","59","0.39","0.631","0.641","10.6","3.3","0.9","0.6","0.4","0.5","13.9","11.5","14.8","4.4","124.6","108.4"
"70","Dillon Brooks","Mem","G-F","27.3","6","27.9","21.8","8.3","7","0.714","35","0.4","42","0.238","0.377","0.393","10.5","3","1.8","0.2","0","1.2","13.5","12.3","15.3","5.5","84.8","105.7"
"71","Nic Claxton","Bro","F-C","24.1","4","29.2","13.7","10.6","10","0.6","25","0.72","0","0","0.72","0.714","10.5","8","1.5","0.3","1.8","0.8","18.5","12","20","6.9","137.8","109"
"72","Josh Hart","Nyk","G","28.2","10","32","15.6","18.4","22","0.636","56","0.554","28","0.321","0.53","0.55","10.3","7.4","2.3","0.8","0.2","1.9","17.7","12.6","20","7","107.3","104.8"
"73","Eric Gordon","Lac","G","34.4","5","29.8","14.3","8.3","6","0.833","15","0.533","29","0.345","0.523","0.547","10.2","1.4","2.6","0.6","0.4","0.8","11.6","12.8","14.2","4.5","113.5","113"
"74","Kyle Lowry","Mia","G","37.1","10","24.9","18.2","15.7","20","0.9","40","0.5","40","0.35","0.513","0.563","10","2.9","4.1","0.9","0.9","1.5","12.9","14.1","17","7.9","113.4","106.3"
"75","Evan Mobley","Cle","C","21.9","5","37.5","15.9","19.9","8","0.625","47","0.468","1","0","0.458","0.476","9.8","10","2","0.6","1.2","2.4","19.8","11.8","21.8","6.2","96.4","105.8"
"76","Keegan Murray","Sac","F","22.7","7","27.7","13.2","6.4","6","0.667","26","0.538","32","0.375","0.552","0.561","9.7","6.3","0.7","0.6","0.3","0.6","16","10.4","16.7","5.1","119.3","109.5"
"77","Bobby Portis","Mil","F","28.2","5","21.5","18.2","8.8","3","1","23","0.652","18","0.278","0.549","0.567","9.6","8.2","1.2","0.6","0.4","0.8","17.8","10.8","19","8.5","118.5","96.6"
"78","Kentavious Caldwell-Pope","Den","G","30.2","10","32.9","11.8","8.5","13","0.846","34","0.529","41","0.39","0.56","0.588","9.5","3.1","1.5","1.3","0.4","0.7","12.6","11","14.1","4.3","118.7","112.1"
"79","Draymond Green","Gol","F","33.2","11","31.2","14.7","23.1","33","0.727","66","0.515","17","0.235","0.482","0.533","9.5","6.7","7.2","1.5","1","2.3","16.2","16.6","23.4","9.9","116.6","102.5"
"80","Jarrett Allen","Cle","C","25.1","5","38.1","10.3","7.6","6","0.5","36","0.611","0","0","0.611","0.608","9.4","7.4","2.4","0.8","1","0.6","16.8","11.8","19.2","5.8","136","109.7"
"81","Ivica Zubac","Lac","C","26.1","5","26","15.6","26.6","16","0.75","30","0.567","0","0","0.567","0.621","9.2","9.6","0.6","0.6","0.2","2.2","18.8","9.8","19.4","5.8","112.3","109.1"
"82","Kevin Huerter","Sac","G-F","24.7","7","26.3","17.1","5.2","8","0.75","33","0.515","39","0.205","0.403","0.424","9.1","4.4","1.1","0.4","1.3","0.6","13.6","10.3","14.7","5.4","89.1","105.9"
"83","Immanuel Quickley","Nyk","G","23.9","8","21.9","21.1","11.9","20","0.85","29","0.483","37","0.243","0.417","0.481","9","1.6","1","0.5","0","1.1","10.6","10","11.6","4.4","97.6","112.9"
"84","De'Anthony Melton","Phi","G","25","9","24.7","16","9.5","8","0.75","26","0.385","40","0.45","0.561","0.575","8.9","2.9","1.8","1.3","0.7","0.8","11.8","10.7","13.6","5.8","117.6","108.1"
"85","Marcus Morris Sr.","Lac","F","33.7","3","22.8","19.5","3.3","4","1","17","0.471","12","0.167","0.379","0.423","8.7","4","0","0.3","0.3","0.3","12.7","8.7","12.7","0","88.4","109.2"
"86","Xavier Tillman","Mem","F","24.3","6","30.6","11.7","8.1","5","0.6","41","0.561","4","0.25","0.544","0.551","8.7","8","3.2","0.7","0.7","0.7","16.7","11.8","19.8","7.9","128.3","105.2"
"87","Bones Hyland","Lac","G","22.7","5","16.5","26.8","8.3","10","0.8","24","0.417","20","0.25","0.398","0.444","8.6","0.8","0.8","0.8","0.2","0.8","9.4","9.4","10.2","4.3","90.4","108.2"
"88","Kyle Anderson","Min","F-G","29.6","4","25.9","16.5","16.5","2","1","24","0.542","6","0.333","0.533","0.551","8.5","4","4.5","1.8","0.5","1.5","12.5","13","17","8.3","113.1","102.8"
"89","Nickeil Alexander-Walker","Min","G","24.7","5","29.6","12.6","10.2","3","0.667","10","0.5","25","0.4","0.571","0.578","8.4","2","1.4","0.6","0.2","0.8","10.4","9.8","11.8","3.9","109.4","114.6"
"90","Clint Capela","Atl","C","29","6","25.2","12.2","9.5","6","0.667","38","0.605","0","0","0.605","0.615","8.3","8.3","0.5","1","0.5","0.7","16.7","8.8","17.2","5.2","127.4","113.4"
"91","Seth Curry","Bro","G","32.7","3","19.4","18.1","4.9","3","0.667","10","0.7","9","0.333","0.605","0.615","8.3","1","2","0","0","0.3","9.3","10.3","11.3","5.3","124.8","119.5"
"92","Kevin Love","Mia","F-C","34.7","10","21.1","17.3","7.8","15","0.867","13","0.462","58","0.328","0.486","0.528","8.2","6.7","2","0.3","0.5","0.6","14.9","10.2","16.9","9.1","114","101.5"
"93","Mason Plumlee","Lac","F-C","33.2","5","18.2","11.6","15.5","14","0.929","16","0.875","0","0","0.875","0.925","8.2","6.8","1.8","0.4","0.4","0.6","15","10","16.8","10.2","183.7","99.2"
"94","Duncan Robinson","Mia","F","29.1","10","18.1","18.6","11.8","2","1","13","0.308","54","0.444","0.597","0.604","8.2","1.8","1.3","0.3","0","0.9","10","9.5","11.3","5.9","109","111.9"
"95","Dennis Schroder","Lal","G","29.7","11","24.2","15.1","18.2","26","0.846","43","0.512","24","0.292","0.485","0.555","7.9","1.6","2.7","1.1","0.2","1.4","9.5","10.6","12.3","5.4","107.2","108.3"
"96","Taurean Prince","Min","F","29.1","5","20","19.4","13","9","0.778","12","0.333","21","0.381","0.485","0.528","7.8","1.4","0.8","0.6","0.2","1","9.2","8.6","10","4.1","101.1","111.5"
"97","Saddiq Bey","Atl","F","24.1","6","22.1","14.3","4.7","9","0.889","22","0.364","18","0.389","0.463","0.512","7.5","4","1","0.5","0","0.3","11.5","8.5","12.5","5.6","115.7","118.4"
"98","Luke Kennard","Mem","G","26.9","5","21.3","10.1","4.1","4","1","7","0.571","16","0.5","0.696","0.727","7.2","4","1.4","0.8","0","0.2","11.2","8.6","12.6","6.4","153.9","107.1"
"99","Al Horford","Bos","C-F","36.9","11","31.2","10.8","9.7","2","1","16","0.688","58","0.31","0.514","0.521","7.1","7.1","3.4","1.3","2.2","0.7","14.2","10.5","17.5","7.1","121.8","106.5"
"100","Davion Mitchell","Sac","G","24.7","7","19.8","15.6","11.5","6","0.833","19","0.632","27","0.259","0.489","0.514","7.1","1.3","1.7","0.9","0.1","0.9","8.4","8.9","10.1","5.1","104.5","115.3"
"101","Gary Payton II","Gol","G","30.4","11","16.5","15","17.7","9","0.667","37","0.811","14","0.286","0.706","0.71","7.1","3.8","0.7","0.7","0.5","1","10.9","7.8","11.6","6.5","126.7","107.9"
"102","Obi Toppin","Nyk","F","25.2","10","16.3","20.2","10.9","3","1","27","0.63","38","0.289","0.515","0.528","7","3.6","0.6","0.8","0.3","0.8","10.6","7.6","11.2","6.1","106","107.1"
"103","Mitchell Robinson","Nyk","C-F","25.1","10","26.9","11.4","17.8","31","0.355","46","0.63","0","0","0.63","0.578","6.9","9.1","0.8","0.9","1.5","1","16","7.7","16.8","5.5","127.4","105.3"
"104","Joe Ingles","Mil","F-G","35.6","5","17.8","13.7","20.7","0","0","3","0.667","20","0.5","0.739","0.739","6.8","1.2","2","0.6","0.2","1.2","8","8.8","10","5.7","123.1","109"
"105","Torrey Craig","Pho","F","32.4","10","17","12.6","6.6","9","0.889","18","0.722","24","0.458","0.702","0.729","6.7","2.5","0.6","0.4","0.2","0.3","9.2","7.3","9.8","5.1","143","105.6"
"106","Trey Lyles","Sac","F","27.5","7","16.8","15.2","6.9","5","0.6","13","0.615","27","0.333","0.538","0.545","6.6","5.7","0.7","0.3","0","0.4","12.3","7.3","13","7.1","116.1","105.9"
"107","Santi Aldama","Mem","F-C","22.3","6","16.8","14.9","5.6","2","1","18","0.444","15","0.467","0.561","0.576","6.5","4.3","1.2","0.5","0","0.3","10.8","7.7","12","7.7","125.5","108.9"
"108","Robert Williams III","Bos","C-F","25.6","11","20.6","9.8","20.3","13","0.692","35","0.886","0","0","0.886","0.872","6.5","6.3","1.3","0.6","1.4","0.8","12.7","7.7","14","7.3","154.5","100.2"
"109","Isaac Okoro","Cle","F-G","22.3","5","14.9","18.7","14.6","6","1","10","0.7","13","0.308","0.565","0.624","6.4","1.4","0.8","0.4","0.4","0.8","7.8","7.2","8.6","5.2","117.4","101.9"
"110","Dorian Finney-Smith","Bro","F","30","4","25.1","13.7","17.9","0","0","6","0.333","17","0.412","0.543","0.543","6.3","4.5","0.8","0.8","0.5","1.3","10.8","7","11.5","4.5","101.4","111.5"
"111","Kevon Looney","Gol","F","27.3","12","24.9","10.5","17.3","17","0.529","57","0.579","0","0","0.579","0.582","6.3","12.7","3.4","0.7","0.4","1","18.9","9.7","22.3","10.4","140.1","100.9"
"112","Terence Davis","Sac","G","26","4","14.4","16.4","12.8","2","1","3","0.667","17","0.353","0.55","0.575","6","2.3","1.5","0.3","0","0.8","8.3","7.5","9.8","7.6","114","98.2"
"113","Wesley Matthews","Mil","G","36.6","2","20.7","9.2","0","0","0","2","0","7","0.571","0.667","0.667","6","1.5","0.5","1","0.5","0","7.5","6.5","8","3.2","140.8","108.9"
"114","Onyeka Okongwu","Atl","F-C","22.4","6","21.9","11.4","21.7","10","0.5","24","0.583","1","1","0.62","0.612","6","6.3","1.2","0.3","1.3","1.2","12.3","7.2","13.5","6.5","124.1","105.9"
"115","Cedi Osman","Cle","F","28.1","5","18.6","17.1","16.5","9","0.667","5","0.6","20","0.3","0.48","0.518","6","3","1","0.4","0.2","1","9","7","10","5.6","97.5","99.9"
"116","Lonnie Walker IV","Lal","G-F","24.4","8","13.3","16.5","7.6","4","1","18","0.722","18","0.333","0.611","0.636","6","1","1","0.6","0.1","0.4","7","7","8","5.5","122.3","111.5"
"117","Moses Moody","Gol","G","20.9","11","13.3","12.7","5","12","0.917","19","0.526","19","0.579","0.697","0.739","5.8","2.4","0.6","0.5","0.4","0.2","8.2","6.5","8.8","6.1","149.1","105.6"
"118","Jarred Vanderbilt","Lal","F","24.1","11","18.4","15.6","18.4","18","0.667","25","0.56","28","0.25","0.462","0.501","5.5","4","1","0.8","1.1","1.1","9.5","6.5","10.5","6.1","103.5","101.7"
"119","Quentin Grimes","Nyk","G","23","8","26.3","11.3","18.2","11","0.818","9","0.556","31","0.258","0.425","0.479","5.4","2.9","1.3","1.1","0.6","1.1","8.3","6.6","9.5","4.2","95.2","109.1"
"120","Paul Reed","Phi","F","23.9","9","15.7","13.8","12.4","5","1","35","0.629","0","0","0.629","0.659","5.4","5.9","0.7","0.6","0.4","0.6","11.3","6.1","12","7.2","143.3","104"
"121","Jock Landale","Pho","C","27.5","6","13.7","14","4.5","10","0.6","20","0.6","1","0","0.571","0.591","5","3.8","0.3","0.5","0.3","0.2","8.8","5.3","9.2","5.2","132.9","102"
"122","Royce O'Neale","Bro","F","29.9","4","29.5","14.1","12","2","1","7","0.429","22","0.182","0.31","0.335","5","4.3","3.5","1.3","0.3","1","9.3","8.5","12.8","5.7","88.2","108.5"
"123","Georges Niang","Phi","F","29.9","9","15.4","12.4","13.5","0","0","10","0.6","22","0.455","0.656","0.656","4.7","0.4","0.2","0","0.1","0.6","5.1","4.9","5.3","1.9","107.6","110.7"
"124","Donte DiVincenzo","Gol","G","26.3","12","17.5","14.1","22.3","10","0.8","16","0.438","36","0.306","0.452","0.488","4.6","2.9","3","0.8","0.3","1.3","7.5","7.6","10.5","7.8","106.3","109.7"
"125","Tyus Jones","Mem","G","27","6","20.1","15.8","18.1","3","0.667","17","0.471","19","0.158","0.347","0.362","4.5","3","3.7","1.3","0","1.3","7.5","8.2","11.2","7.3","87.8","109.6"
"126","Nicolas Batum","Lac","G-F","34.4","5","18.3","9.6","9.5","0","0","2","1","17","0.353","0.579","0.579","4.4","2.2","1.2","0.4","0.4","0.4","6.6","5.6","7.8","5","116.9","107.8"
"127","Terrence Ross","Pho","G-F","32.3","5","12.1","15.9","0","0","0","4","0.5","18","0.333","0.5","0.5","4.4","1.4","0.2","0.2","0.4","0","5.8","4.6","6","3.5","104.9","110.3"
"128","Jalen Johnson","Atl","F","21.4","6","9.3","22.2","17","2","1","13","0.462","11","0.364","0.5","0.523","4.3","2.5","1.3","0.5","0","0.8","6.8","5.7","8.2","10.4","101.8","106.4"
"129","Cameron Payne","Pho","G","28.8","6","18.5","14.6","13.5","0","0","14","0.5","18","0.222","0.406","0.406","4.3","1.3","3","0.5","0.2","0.8","5.7","7.3","8.7","5.5","93.9","108.1"
"130","Landry Shamet","Pho","G","26.2","9","16.4","11.2","5.5","4","0.75","14","0.429","20","0.4","0.529","0.545","4.3","1.2","0.8","0.2","0.1","0.2","5.6","5.1","6.3","3.9","115.1","112.4"
"131","Jeff Green","Den","F","36.7","10","19.5","11.3","10.6","7","0.714","21","0.524","21","0.238","0.44","0.466","4.2","1.9","1","0.4","0.6","0.5","6.1","5.2","7.1","4.1","99.2","104.6"
"132","Josh Okogie","Pho","G","24.7","10","17.5","11.4","7.4","13","0.846","23","0.522","14","0.143","0.405","0.48","4.1","2.1","1.3","0.6","0.2","0.3","6.2","5.4","7.5","5.1","118.1","109"
"133","Robin Lopez","Cle","C","35.1","2","3.1","37.6","22.5","2","1","3","1","0","0","1","1.031","4","0.5","0","0","0","0.5","4.5","4","4.5","0","",""
"134","Payton Pritchard","Bos","G","25.3","4","5.4","21.8","19.2","1","1","5","0.6","3","1","0.938","0.948","4","0.8","1","0.3","0","0.5","4.8","5","5.8","10.9","149.7","109.2"
"135","P.J. Tucker","Phi","F","38","9","28.2","7.7","12.1","3","0.667","9","0.333","27","0.333","0.458","0.469","3.9","5.2","1.7","1.1","0.2","0.6","9.1","5.6","10.8","4.6","118.2","106"
"136","Grant Williams","Bos","F","24.4","8","14.1","9.9","8.2","2","1","3","0.333","19","0.474","0.659","0.677","3.9","1.6","1.1","0.4","0.4","0.3","5.5","5","6.6","5.4","140.5","106.4"
"137","David Roddy","Mem","F","22.1","6","12.6","16.8","3.3","1","1","9","0.222","20","0.3","0.379","0.391","3.8","2.8","0.7","0","0.3","0.2","6.7","4.5","7.3","6.2","94.9","107.8"
"138","Bismack Biyombo","Pho","C","30.7","7","10.1","17.3","28.2","16","0.563","15","0.533","0","0","0.533","0.567","3.6","3.6","0.9","0","1.3","0.9","7.1","4.4","8","9","110.7","91.4"
"139","Jonathan Kuminga","Gol","F","20.6","9","6.4","22.2","14.7","9","0.556","16","0.563","7","0.429","0.587","0.593","3.6","1","0.4","0.2","0","0.4","4.6","4","5","7.1","111.2","110.3"
"140","Tristan Thompson","Lal","C-F","32.2","2","8.9","23.8","12.3","4","0.25","7","0.429","0","0","0.429","0.4","3.5","3.5","1","0","0","0.5","7","4.5","8","10.4","97.5","109"
"141","Malik Beasley","Lal","G","26.5","9","9.6","18.3","5.8","6","1","8","0.375","24","0.25","0.375","0.433","3.3","0.9","0.2","0.1","0","0.2","4.2","3.6","4.4","3.5","93.7","111.6"
"142","JaMychal Green","Gol","F-C","32.9","7","7","21.1","8","0","0","5","0.8","18","0.278","0.5","0.5","3.3","0.7","0.4","0","0.1","0.3","4","3.7","4.4","5.6","95.9","98.8"
"143","Isaiah Hartenstein","Nyk","C-F","25","10","20.2","7.2","19","16","0.75","21","0.476","0","0","0.476","0.571","3.2","5","1.4","0.8","1.1","0.5","8.2","4.6","9.6","5.6","137.2","102.2"
"144","Jaylen Nowell","Min","G","23.8","5","12.4","21.5","7.1","2","0.5","17","0.176","9","0.333","0.288","0.298","3.2","1","0.6","0","0","0.4","4.2","3.8","4.8","4","73.4","116.8"
"145","T.J. Warren","Pho","F","29.7","5","13","13.9","5.2","4","0.75","12","0.417","6","0.167","0.361","0.405","3.2","1","0.6","0.2","0.6","0.2","4.2","3.8","4.8","3.8","94.8","114.9"
"146","Day'Ron Sharpe","Bro","F","21.5","2","9.9","14.7","36.8","2","1","3","0.667","0","0","0.667","0.773","3","3","2.5","0","0.5","1","6","5.5","8.5","11.4","138.2","101.1"
"147","Cam Thomas","Bro","G","21.6","2","7.9","25.1","12.5","0","0","5","0.6","2","0","0.429","0.429","3","0.5","0.5","0","0","0.5","3.5","3.5","4","4.6","79.1","108.6"
"148","Yuta Watanabe","Bro","G-F","28.6","1","4.7","40.6","33.3","2","0","0","0","2","0.5","0.75","0.521","3","1","0","0","0","1","4","3","4","0","60.1","118"
"149","Cody Zeller","Mia","F-C","30.6","9","9.2","15.1","27.9","8","0.25","18","0.667","0","0","0.667","0.604","2.9","2.6","0.6","0.2","0","0.8","5.4","3.4","6","7.2","95.7","93.2"
"150","Christian Braun","Den","G","22.1","10","13.1","11","24","8","0.5","16","0.563","6","0.333","0.545","0.549","2.8","2.4","0.5","0.6","0.1","0.7","5.2","3.3","5.7","4.6","100.7","101.7"
"151","Haywood Highsmith","Mia","F","26.4","9","8.3","12","5.2","3","0.667","11","0.636","7","0.429","0.639","0.647","2.8","1.9","0.3","0.6","0.1","0.1","4.7","3.1","5","5.6","139.5","98.8"
"152","PJ Dozier","Sac","G-F","26.5","3","2","39","0","0","0","2","0.5","4","0.5","0.667","0.667","2.7","0.7","0","0","0","0","3.3","2.7","3.3","0","",""
